,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022
"Klobuchar, Amy (D-MN)",,,,,,,,,,34250,53550,94148,40500,28920,112120,256633,9269
"McCaskill, Claire (D-MO)",,,,,,,,,,26700,67882,226658,19000,24594,290384,,
"Casey, Bob (D-PA)",,,,,,,,,,22900,73600,210750,56050,95851,322360,27544,71541
"Cardin, Ben (D-MD)",,,,,,,,,,10000,15000,160900,7000,15000,104650,500,4500
"Whitehouse, Sheldon (D-RI)",,,,,,,,,,6500,26000,60032,2250,27230,71918,3289,16645
"Tester, Jon (D-MT)",,,,,,,,,,3000,32834,200997,17500,25140,230357,14930,68229
"Sanders, Bernie (I-VT)",,,,,,,,,,1000,7700,9350,3300,,23639,1558391,32938
"Murkowski, Lisa (I-AK)",,,,,,,,,,,867246,,,,,,
"Manchin, Joe (D-WV)",,,,,,,,,,,684598,816750,66650,38000,373988,110038,1216392
"Specter, Arlen (D-PA)",,,,,,,,,,,345281,,,,,,
"Bennet, Michael (D-CO)",,,,,,,,,,,293406,52500,26900,389693,17967,58304,278562
"Brown, Scott (R-MA)",,,,,,,,,,,241810,707923,,,,,
"Gillibrand, Kirsten (D-NY)",,,,,,,,,,,199700,202948,22500,31612,69821,21816,27118
"Begich, Mark (D-AK)",,,,,,,,,,,140547,130450,449401,,,,
"Udall, Mark (D-CO)",,,,,,,,,,,92050,177750,545281,,,,
"Warner, Mark (D-VA)",,,,,,,,,,,39500,94570,183445,46200,175559,163879,44850
"Shaheen, Jeanne (D-NH)",,,,,,,,,,,36750,31250,108341,6599,19500,160809,14778
"Udall, Tom (D-NM)",,,,,,,,,,,28900,51113,291650,32501,20770,-815,
"Merkley, Jeff (D-OR)",,,,,,,,,,,24050,23400,94185,9798,24150,27491,9759
"Risch, James E (R-ID)",,,,,,,,,,,23050,77130,202820,32700,16300,249777,70000
"Coons, Chris (D-DE)",,,,,,,,,,,19750,49423,137350,9751,4647,76608,27500
"Franken, Al (D-MN)",,,,,,,,,,,19190,38173,122464,18144,6173,,
"Hagan, Kay R (D-NC)",,,,,,,,,,,17500,20999,155583,,,,
"Johanns, Mike (R-NE)",,,,,,,,,,,7300,12250,,,,,
"Heller, Dean (R-NV)",,,,,,,,,,,,670855,38638,82250,765100,,
"Toomey, Pat (R-PA)",,,,,,,,,,,,145949,352550,800827,92300,101738,-6000
"Portman, Rob (R-OH)",,,,,,,,,,,,87500,302550,977781,89800,183402,-63200
"Lee, Mike (R-UT)",,,,,,,,,,,,74395,87415,282480,39650,10844,394579
"Rubio, Marco (R-FL)",,,,,,,,,,,,73050,137910,1449731,41800,36528,461844
"Hoeven, John (R-ND)",,,,,,,,,,,,65853,135000,479413,92630,56308,451311
"Blunt, Roy (R-MO)",,,,,,,,,,,,53650,183500,612203,29550,48541,-2800
"Moran, Jerry (R-KS)",,,,,,,,,,,,39950,74537,228400,52000,51730,305214
"Ayotte, Kelly (R-NH)",,,,,,,,,,,,20250,91800,617742,,,
"Kirk, Mark (R-IL)",,,,,,,,,,,,9250,153450,287711,,,
"Johnson, Ron (R-WI)",,,,,,,,,,,,8750,42250,657998,27000,10020,455778
"Boozman, John (R-AR)",,,,,,,,,,,,8730,15750,259900,5000,19000,346008
"Blumenthal, Richard (D-CT)",,,,,,,,,,,,5500,36500,97562,678,16922,69373
"Paul, Rand (R-KY)",,,,,,,,,,,,1350,240380,294567,38725,34315,271611
"Scott, Tim (R-SC)",,,,,,,,,,,,,580451,428654,69050,107310,485138
"Cruz, Ted (R-TX)",,,,,,,,,,,,,318800,2861282,1165827,231477,210129
"Booker, Cory (D-NJ)",,,,,,,,,,,,,283748,52756,34917,162420,51917
"Markey, Ed (D-MA)",,,,,,,,,,,,,193175,17908,25064,88719,5078
"Schatz, Brian (D-HI)",,,,,,,,,,,,,187269,111468,27535,58363,62400
"Heitkamp, Heidi (D-ND)",,,,,,,,,,,,,173350,156881,698296,,
"Heinrich, Martin (D-NM)",,,,,,,,,,,,,59850,159023,306591,38923,198025
"Donnelly, Joe (D-IN)",,,,,,,,,,,,,50200,28850,221497,,
"Walsh, John (D-MT)",,,,,,,,,,,,,38350,,,,
"Baldwin, Tammy (D-WI)",,,,,,,,,,,,,33968,25030,185610,14812,15705
"Fischer, Deb (R-NE)",,,,,,,,,,,,,32750,89200,253688,64674,54660
"Kaine, Tim (D-VA)",,,,,,,,,,,,,31400,152375,232494,12433,69813
"Flake, Jeff (R-AZ)",,,,,,,,,,,,,19757,56440,237300,,
"Hirono, Mazie K (D-HI)",,,,,,,,,,,,,14099,29900,67363,16395,26550
"Murphy, Christopher S (D-CT)",,,,,,,,,,,,,10500,22325,99637,3036,1198
"Warren, Elizabeth (D-MA)",,,,,,,,,,,,,2000,9588,94439,558763,11868
"King, Angus (I-ME)",,,,,,,,,,,,,1500,25350,106953,9125,5000
"Sanders, Bernie (D-VT)",,,,,,,,,,,,,,595054,,,
"Lankford, James (R-OK)",,,,,,,,,,,,,,494380,69200,35528,568420
"Cassidy, Bill (R-LA)",,,,,,,,,,,,,,102950,218010,442059,124623
"Gardner, Cory (R-CO)",,,,,,,,,,,,,,66650,170875,1195760,
"Sullivan, Dan (R-AK)",,,,,,,,,,,,,,44050,177400,651028,23097
"Daines, Steven (R-MT)",,,,,,,,,,,,,,42087,72779,964164,21420
